station,cam,x_crtm,y_crtm,setup_date,takedown_date,,
H24,A,572863,928528,12/13/2018,3/5/2019,,
H23,B,572918,930045,1/8/2018,3/5/2019,,
H21,A,571544,929461,12/13/2018,3/4/2019,,
H18,A,571387,933622,12/20/2018,1/4/2019,,
H19,A,571974,932723,12/20/2018,12/26/2018,,
H33,B,576816,927888,12/18/2018,3/4/2019,,
H36,A,577877,926939,12/20/2018,3/4/2019,,
H22,B,572460,931685,12/20/2018,3/4/2019,,
H19,B,571974,932723,12/20/2018,1/5/2019,,
H22,A,572460,931685,12/20/2018,1/6/2019,,
H04,A,566436,933715,12/19/2018,3/6/2019,,
H04,B,566436,933715,12/19/2018,3/6/2019,,
H01,A,563525,933517,12/18/2018,3/6/2019,,
H01,B,563525,933517,12/18/2018,3/6/2019,,
H35,B,578314,929185,12/18/2018,4/6/2019,,
H33,A,576816,927888,12/18/2018,3/4/2019,,
H03,A,565134,933023,12/18/2018,3/6/2019,,
H35,A,578314,929185,12/18/2018,3/4/2019,,
H14,A,570491,934703,12/17/2018,2/18/2019,,
H11,A,569050,934180,12/17/2018,3/6/2019,,
H15,B,570050,933342,12/17/2018,3/4/2019,,
H14,B,570491,934703,12/17/2018,3/4/2019,,
H16,A,570221,931506,12/16/2018,3/7/2019,,
H16,B,570221,931506,12/16/2018,1/21/2019,,
H05,A,566234,932329,12/18/2018,3/6/2019,,
H05,B,566234,932329,12/19/2018,3/6/2019,,
H12,B,569142,932369,12/15/2018,3/1/2019,,
H20,A,571583,930922,12/16/2018,3/4/2019,,
H09,B,567786,931616,12/15/2018,3/6/2019,,
H12,A,569142,932369,12/15/2018,3/4/2019,,
H07,B,567403,934495,12/16/2018,3/6/2019,,
H15,A,570050,933342,12/17/2018,3/4/2019,,
H20,B,571583,930922,12/16/2018,3/4/2019,,
H07,A,567403,934495,12/16/2018,3/6/2019,,
H30,B,575538,930297,12/15/2018,3/5/2019,,
H32,A,576792,929587,12/15/2018,3/5/2019,,
H31,B,575482,928647,12/14/2018,3/7/2019,,
H30,A,575538,930297,12/15/2018,3/5/2019,,
H28,B,574358,928025,12/15/2018,3/3/2019,,
H09,A,567786,931616,12/15/2018,3/6/2019,,
H32,B,576792,929587,12/1/2018,2/28/2019,,
H28,A,574358,928025,12/15/2018,3/3/2019,,
H29,B,575392,931415,12/14/2018,3/5/2019,,
H25,A,574253,931831,12/14/2018,3/5/2019,,
H24,B,572863,928528,12/13/2018,3/5/2019,,
H29,A,575392,931415,12/14/2018,3/5/2019,,
H26,B,574203,931098,12/14/2018,3/5/2019,,
H31,A,575482,928647,12/14/2018,3/7/2019,,
H25,B,574253,931831,12/14/2018,3/5/2019,,
H26,A,574203,931098,12/14/2018,3/5/2019,,
H27,B,574008,929501,12/13/2018,1/19/2019,,
H23,A,572918,930045,12/13/2018,3/5/2019,,
H27,A,574008,929501,12/13/2018,1/19/2019,,
H21,B,571544,929461,2/9/2019,3/4/2019,,
