Station,Species,Individual,Date,Time,delta.time.days,dog_station,wkdays
H01,ocelot,Lpar_01_F,12/30/2018,19:01:53,0,FALSE,79
H01,ocelot,Lpar_01_F,2/4/2019,4:11:27,35.4,FALSE,79
H01,ocelot,Lpar_01_F,2/5/2019,18:37:39,1.6,FALSE,79
H03,ocelot,Lpar_02_F,2/4/2019,23:21:08,0,FALSE,79
H04,ocelot,Lpar_03_M,12/31/2018,1:04:32,0,FALSE,78
H05,ocelot,Lpar_05_M,3/4/2019,23:28:31,0,FALSE,79
H05,ocelot,Lpar_14_M,1/23/2019,3:49:13,0,FALSE,79
H09,ocelot,Lpar_04_F,12/24/2018,12:17:12,0,TRUE,82
H09,ocelot,Lpar_05_M,12/27/2018,3:12:26,0,TRUE,82
H09,ocelot,Lpar_06_M,12/29/2018,10:06:33,0,TRUE,82
H12,ocelot,Lpar_03_M,1/30/2019,23:36:30,0,TRUE,80
H12,ocelot,Lpar_07_M,12/17/2018,0:09:53,0,TRUE,80
H12,ocelot,Lpar_07_M,1/13/2019,17:52:21,27.7,TRUE,80
H12,ocelot,Lpar_07_M,1/14/2019,18:30:09,1,TRUE,80
H12,ocelot,Lpar_07_M,1/22/2019,18:07:01,8,TRUE,80
H12,ocelot,Lpar_07_M,1/30/2019,17:11:49,8,TRUE,80
H12,ocelot,Lpar_07_M,1/30/2019,18:46:32,0.1,TRUE,80
H12,ocelot,Lpar_07_M,1/30/2019,19:21:02,0,TRUE,80
H12,ocelot,Lpar_07_M,2/11/2019,17:40:42,11.9,TRUE,80
H12,ocelot,Lpar_07_M,2/18/2019,19:25:04,7.1,TRUE,80
H12,ocelot,Lpar_07_M,2/19/2019,18:56:03,1,TRUE,80
H12,ocelot,Lpar_07_M,2/24/2019,2:21:53,4.3,TRUE,80
H12,ocelot,Lpar_07_M,2/24/2019,2:42:09,0,TRUE,80
H12,ocelot,Lpar_07_M,3/1/2019,4:04:12,5.1,TRUE,80
H12,ocelot,Lpar_08_F,12/29/2018,1:41:42,0,TRUE,80
H12,ocelot,Lpar_08_F,1/6/2019,18:05:01,8.7,TRUE,80
H12,ocelot,Lpar_08_F,1/6/2019,19:55:45,0.1,TRUE,80
H12,ocelot,Lpar_08_F,1/10/2019,20:13:28,4,TRUE,80
H12,ocelot,Lpar_08_F,1/17/2019,22:43:22,7.1,TRUE,80
H12,ocelot,Lpar_08_F,2/22/2019,19:04:18,35.9,TRUE,80
H12,ocelot,Lpar_08_F,3/3/2019,17:42:27,8.9,TRUE,80
H14,ocelot,Lpar_07_M,12/18/2018,20:37:33,0,TRUE,78
H14,ocelot,Lpar_07_M,12/27/2018,21:43:50,9,TRUE,78
H14,ocelot,Lpar_07_M,1/6/2019,19:33:54,9.9,TRUE,78
H14,ocelot,Lpar_07_M,1/12/2019,22:06:23,6.1,TRUE,78
H14,ocelot,Lpar_07_M,1/31/2019,0:09:32,18.1,TRUE,78
H14,ocelot,Lpar_07_M,2/4/2019,23:57:29,5,TRUE,78
H14,ocelot,Lpar_07_M,2/23/2019,2:14:05,18.1,TRUE,78
H14,ocelot,Lpar_07_M,2/26/2019,3:55:03,3.1,TRUE,78
H14,ocelot,Lpar_07_M,3/1/2019,3:00:25,3,TRUE,78
H14,ocelot,Lpar_09_F,12/19/2018,22:18:58,0,TRUE,78
H14,ocelot,Lpar_09_F,12/20/2018,1:56:53,0.2,TRUE,78
H14,ocelot,Lpar_09_F,12/29/2018,23:55:27,9.9,TRUE,78
H14,ocelot,Lpar_09_F,1/9/2019,4:58:43,10.2,TRUE,78
H14,ocelot,Lpar_09_F,1/9/2019,19:57:32,0.6,TRUE,78
H14,ocelot,Lpar_09_F,1/9/2019,20:13:19,0,TRUE,78
H14,ocelot,Lpar_09_F,1/10/2019,3:19:03,0.3,TRUE,78
H14,ocelot,Lpar_09_F,1/18/2019,20:42:52,8.7,TRUE,78
H14,ocelot,Lpar_09_F,1/19/2019,1:11:50,0.2,TRUE,78
H14,ocelot,Lpar_09_F,1/31/2019,21:58:51,12.9,TRUE,78
H14,ocelot,Lpar_09_F,2/4/2019,23:09:09,4,TRUE,78
H14,ocelot,Lpar_09_F,2/10/2019,2:02:50,5.1,TRUE,78
H14,ocelot,Lpar_09_F,2/12/2019,4:06:50,2.1,TRUE,78
H14,ocelot,Lpar_09_F,2/27/2019,18:45:23,15.6,TRUE,78
H14,ocelot,Lpar_09_F,2/28/2019,1:50:17,0.3,TRUE,78
H14,ocelot,Lpar_09_F,2/28/2019,2:07:38,0,TRUE,78
H14,ocelot,Lpar_10_J,1/18/2019,20:42:58,0,TRUE,78
H14,ocelot,Lpar_10_J,2/28/2019,2:07:54,40.2,TRUE,78
H14,ocelot,Lpar_11_F,2/26/2019,22:04:56,0,TRUE,78
H14,ocelot,Lpar_13,12/30/2018,4:17:43,0,TRUE,78
H15,ocelot,Lpar_07_M,2/18/2019,18:30:41,0,TRUE,78
H15,ocelot,Lpar_07_M,3/1/2019,4:01:11,10.4,TRUE,78
H15,ocelot,Lpar_08_F,12/25/2018,3:19:13,0,TRUE,78
H15,ocelot,Lpar_08_F,1/19/2019,0:16:31,24.9,TRUE,78
H15,ocelot,Lpar_08_F,1/25/2019,3:34:17,6.1,TRUE,78
H15,ocelot,Lpar_08_F,2/3/2019,23:57:18,9.8,TRUE,78
H15,ocelot,Lpar_08_F,3/2/2019,21:15:53,26.9,TRUE,78
H15,ocelot,Lpar_11_F,1/6/2019,23:14:58,0,TRUE,78
H18,ocelot,Lpar_07_M,12/20/2018,21:20:01,0,TRUE,16
H18,ocelot,Lpar_07_M,12/30/2018,19:12:14,9.9,TRUE,16
H19,ocelot,Lpar_07_M,12/24/2018,3:37:51,0,TRUE,17
H20,ocelot,Lpar_12_F,1/21/2019,3:18:07,0,FALSE,79
H22,ocelot,Lpar_05_M,1/9/2019,19:18:10,0,TRUE,75
H22,ocelot,Lpar_05_M,1/20/2019,0:56:30,10.2,TRUE,75
H22,ocelot,Lpar_05_M,1/27/2019,21:57:29,7.9,TRUE,75
H22,ocelot,Lpar_05_M,2/20/2019,0:51:03,23.1,TRUE,75
H22,ocelot,Lpar_05_M,3/2/2019,5:38:15,10.2,TRUE,75
H25,ocelot,Lpar_11_F,1/23/2019,23:23:26,0,TRUE,82
H25,ocelot,Lpar_11_F,2/5/2019,21:06:22,12.9,TRUE,82
H25,ocelot,Lpar_15_M,1/21/2019,4:23:47,0,TRUE,82
H25,ocelot,Lpar_17_M,2/28/2019,3:53:57,0,TRUE,82
H26,ocelot,Lpar_08_F,2/14/2019,6:15:40,0,FALSE,82
H26,ocelot,Lpar_15_M,2/10/2019,19:00:59,0,FALSE,82
H26,ocelot,Lpar_17_M,1/16/2019,1:14:13,0,FALSE,82
H26,ocelot,Lpar_17_M,1/16/2019,4:23:05,0.1,FALSE,82
H26,ocelot,Lpar_17_M,2/13/2019,3:39:11,28,FALSE,82
H28,ocelot,Lpar_17_M,1/24/2019,0:03:34,0,TRUE,79
H28,ocelot,Lpar_17_M,2/25/2019,20:26:10,32.9,TRUE,79
H28,ocelot,Lpar_18,1/31/2019,21:15:09,0,TRUE,79
H29,ocelot,Lpar_11_F,2/5/2019,19:37:57,0,FALSE,82
H29,ocelot,Lpar_15_M,2/2/2019,5:34:55,0,FALSE,82
H29,ocelot,Lpar_17_M,12/20/2018,0:29:27,0,FALSE,82
H32,ocelot,Lpar_07_M,3/5/2019,1:34:17,0,TRUE,95
H32,ocelot,Lpar_20,12/26/2018,23:17:12,0,TRUE,95
H32,ocelot,Lpar_20,1/6/2019,4:49:48,10.2,TRUE,95
H32,ocelot,Lpar_20,1/23/2019,18:37:10,17.6,TRUE,95
H35,ocelot,Lpar_19_M,1/3/2019,5:13:06,0,TRUE,110
H35,ocelot,Lpar_21_F,2/18/2019,0:27:03,0,TRUE,110
H35,ocelot,Lpar_22,3/24/2019,21:52:23,0,TRUE,110
H35,ocelot,Lpar_22,3/28/2019,23:26:54,4.1,TRUE,110
H35,ocelot,Lpar_23,3/3/2019,19:25:18,0,TRUE,110
H36,ocelot,Lpar_05_M,1/11/2019,3:43:41,0,TRUE,75
H36,ocelot,Lpar_19_M,1/24/2019,20:05:24,0,TRUE,75
H36,ocelot,Lpar_19_M,2/10/2019,18:46:01,16.9,TRUE,75
H36,ocelot,Lpar_19_M,3/2/2019,18:53:08,20,TRUE,75
